relative_path,consumer_evidence,consumers,conditions,flags,evidence_note
items/npcCoinDiamond.png,static-extracted,ItemNpcInterface|npcCoinDiamond|CustomItems.java:362|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCoinEmerald.png,static-extracted,ItemNpcInterface|npcCoinEmerald|CustomItems.java:363|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCoinGold.png,static-extracted,ItemNpcInterface|npcCoinGold|CustomItems.java:361|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCoinIron.png,static-extracted,ItemNpcInterface|npcCoinIron|CustomItems.java:360|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCoinStone.png,static-extracted,ItemNpcInterface|npcCoinStone|CustomItems.java:358|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCoinWooden.png,static-extracted,ItemNpcInterface|npcCoinWooden|CustomItems.java:357|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCombatKnife.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcCombatKnive.png,static-extracted,ItemDagger|npcCombatKnive|CustomItems.java:445|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCommissarBottom.png,static-extracted,ItemNpcArmor|npcCommissarBottom|CustomItems.java:695|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCommissarChest.png,static-extracted,ItemNpcArmor|npcCommissarChest|CustomItems.java:693|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCommissarHead.png,static-extracted,ItemNpcArmor|npcCommissarHead|CustomItems.java:692|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCommissarLegs.png,static-extracted,ItemNpcArmor|npcCommissarLegs|CustomItems.java:694|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCowleatherBoots.png,static-extracted,ItemNpcArmor|npcCowleatherBoots|CustomItems.java:622|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCowleatherChest.png,static-extracted,ItemNpcArmor|npcCowleatherChest|CustomItems.java:620|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCowleatherHead.png,static-extracted,ItemNpcArmor|npcCowleatherHead|CustomItems.java:619|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCowleatherLegs.png,static-extracted,ItemNpcArmor|npcCowleatherLegs|CustomItems.java:621|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCrossBolt.png,static-extracted,ItemBullet|npcCrossBolt|CustomItems.java:454|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCrossbow.png,static-extracted,ItemCrossbow|npcCrossbow|CustomItems.java:453|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCrowbar.png,static-extracted,ItemNpcWeaponInterface|npcCrowbar|CustomItems.java:459|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCrown.png,static-extracted,ItemNpcArmor|npcCrown|CustomItems.java:701|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCrown2.png,static-extracted,ItemNpcArmor|npcCrown2|CustomItems.java:700|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCryscentShield.png,static-extracted,ItemShield|npcCryscentShield|CustomItems.java:485|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
